Name,Gender,Game,Age,Age_range,Playable,Sexualization,Id,Species,Side,Relevance,Romantic_Interest,Game_Id,Title,Release,Series,Genre,Sub-genre,Developer,Publisher,Country,Platform,PEGI,Customizable_main,Protagonist,Protagonist_Non_Male,Relevant_males,Relevant_no_males,Percentage_non_male,Criteria,Director,Total_team,female_team,Team_percentage,Metacritic ,Destructoid,IGN,GameSpot,Avg_Reviews,Unnamed: 27,Sexualized_clothing,Trophy,Damsel in Distress,Sexualized Cutscenes,Total
Lee Everett,Male,TWD,Adult,Adult,1,0,TWD_Lee,Human,P,PA,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Hershel Greene,Male,TWD,49,Middle-aged,0,0,TWD_Hershel,Human,B,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Kenny,Male,TWD,Middle-aged,Middle-aged,0,0,TWD_Kenny,Human,P,MC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Duck,Male,TWD,10,Child,0,0,TWD_Duck,Human,P,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Glenn,Male,TWD,22,Young adult,0,0,TWD_Glenn,Human,P,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Larry,Male,TWD,Elderly,Elderly,0,0,TWD_Larry,Human,B,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Mark,Male,TWD,Adult,Adult,0,0,TWD_Mark,Human,P,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Ben,Male,TWD,18,Young adult,0,0,TWD_Ben,Human,P,MC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Andrew,Male,TWD,Adult,Adult,0,0,TWD_Andrew,Human,A,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Danny,Male,TWD,Adult,Adult,0,0,TWD_Danny,Human,A,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Chuck,Male,TWD,Middle-aged,Middle-aged,0,0,TWD_Chuck,Human,P,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Vernon,Male,TWD,Elderly,Elderly,0,0,TWD_Vernon,Human,P,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Omid,Male,TWD,Adult,Adult,0,0,TWD_Omid,Human,P,SC,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Campman,Male,TWD,Adult,Adult,0,0,TWD_Campman,Human,A,MA,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Kratos,Male,GOW,Adult,Adult,1,0,GOW_Kratos,Human,P,PA,No,GOW,God of War,Apr-18,God of War,Action-adventure,Action-adventure,Santa Monica Studio,Sony Interactive Entertaiment,USA,Multi,18,No,1,0,6,1,14%,TR,M,9,1,11%,9.4,10.0,10.0,9.0,9.6,,0,0,0,0,0
Atreus,Male,GOW,11,Child,0,0,GOW_Atreus,Human,P,DA,No,GOW,God of War,Apr-18,God of War,Action-adventure,Action-adventure,Santa Monica Studio,Sony Interactive Entertaiment,USA,Multi,18,No,1,0,6,1,14%,TR,M,9,1,11%,9.4,10.0,10.0,9.0,9.6,,0,0,0,0,0
Baldur,Male,GOW,Adult,Adult,0,0,GOW_Baldur,Human,A,MA,No,GOW,God of War,Apr-18,God of War,Action-adventure,Action-adventure,Santa Monica Studio,Sony Interactive Entertaiment,USA,Multi,18,No,1,0,6,1,14%,TR,M,9,1,11%,9.4,10.0,10.0,9.0,9.6,,0,0,0,0,0
Modi,Male,GOW,Adult,Adult,0,0,GOW_Modi,Human,A,SC,No,GOW,God of War,Apr-18,God of War,Action-adventure,Action-adventure,Santa Monica Studio,Sony Interactive Entertaiment,USA,Multi,18,No,1,0,6,1,14%,TR,M,9,1,11%,9.4,10.0,10.0,9.0,9.6,,0,0,0,0,0
Magni,Male,GOW,Adult,Adult,0,0,GOW_Magni,Human,A,SC,No,GOW,God of War,Apr-18,God of War,Action-adventure,Action-adventure,Santa Monica Studio,Sony Interactive Entertaiment,USA,Multi,18,No,1,0,6,1,14%,TR,M,9,1,11%,9.4,10.0,10.0,9.0,9.6,,0,0,0,0,0
Mimir,Male,GOW,Adult,Adult,0,0,GOW_Mimir,Humanoid,P,MC,No,GOW,God of War,Apr-18,God of War,Action-adventure,Action-adventure,Santa Monica Studio,Sony Interactive Entertaiment,USA,Multi,18,No,1,0,6,1,14%,TR,M,9,1,11%,9.4,10.0,10.0,9.0,9.6,,0,0,0,0,0
Nate,Male,UC4,38,Adult,1,0,UC4_Nate,Human,P,PA,No,UC4,Uncharted 4: A Thief's End,May-16,Uncharted,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,Multi,16,No,1,0,4,2,33%,TR,M,15,1,7%,9.3,9.5,9.0,10.0,9.5,,0,0,0,0,0
Sully,Male,UC4,65,Elderly,0,0,UC4_Sully,Human,P,MC,No,UC4,Uncharted 4: A Thief's End,May-16,Uncharted,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,Multi,16,No,1,0,4,2,33%,TR,M,15,1,7%,9.3,9.5,9.0,10.0,9.5,,0,0,0,0,0
Sam,Male,UC4,Adult,Adult,0,0,UC4_Sam,Human,P,SK,No,UC4,Uncharted 4: A Thief's End,May-16,Uncharted,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,Multi,16,No,1,0,4,2,33%,TR,M,15,1,7%,9.3,9.5,9.0,10.0,9.5,,0,0,0,0,0
Rafe Adler,Male,UC4,Adult,Adult,0,0,UC4_Rafe,Human,A,MA,No,UC4,Uncharted 4: A Thief's End,May-16,Uncharted,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,Multi,16,No,1,0,4,2,33%,TR,M,15,1,7%,9.3,9.5,9.0,10.0,9.5,,0,0,0,0,0
Protagonist,Male,INS,Child,Child,1,0,INS_Protagonist,Human,P,PA,No,INS,Inside,Jun-16,,Action,Puzzle-Platform,Paydead,Playdead,DNK,Multi,18,No,1,0,2,0,0%,TR,M,2,0,0%,9.1,9.5,10.0,8.0,9.2,,0,0,0,0,0
CEO,Male,INS,Adult,Adult,0,0,INS_CEO,Human,A,MA,No,INS,Inside,Jun-16,,Action,Puzzle-Platform,Paydead,Playdead,DNK,Multi,18,No,1,0,2,0,0%,TR,M,2,0,0%,9.1,9.5,10.0,8.0,9.2,,0,0,0,0,0
Flowey,Male,UT,Unknown,Unknown,0,0,UT_Flowey,Animated Plant,B,MC,No,UT,Undertale,Sep-15,,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,50%,9.2,10.0,10.0,9.0,9.6,,0,0,0,0,0
Sans,Male,UT,Unknown,Unknown,0,0,UT_Sans,Humanoid,P,MC,No,UT,Undertale,Sep-15,,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,50%,9.2,10.0,10.0,9.0,9.6,,0,0,0,0,0
Papyrus,Male,UT,Adult,Adult,0,0,UT_Papyrus,Humanoid,P,MC,No,UT,Undertale,Sep-15,,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,50%,9.2,10.0,10.0,9.0,9.6,,0,0,0,0,0
Mettaton,Male,UT,Unknown,Unknown,0,0,UT_Mettaton,Humanoid,B,MC,No,UT,Undertale,Sep-15,,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,50%,9.2,10.0,10.0,9.0,9.6,,0,0,0,0,0
Asgore Dreemurr,Male,UT,Adult,Adult,0,0,UT_Asgore,Humanoid,A,MC,No,UT,Undertale,Sep-15,,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,50%,9.2,10.0,10.0,9.0,9.6,,0,0,0,0,0
Asriel,Male,UT,Child,Child,0,0,UT_Asriel,Humanoid,B,MC,No,UT,Undertale,Sep-15,,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,50%,9.2,10.0,10.0,9.0,9.6,,0,0,0,0,0
Doll,Female,BB,Unknown,Unknown,0,0,BB_Doll,Humanoid,P,SC,No,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9.0,9.1,9.0,9.1,,0,0,0,0,0
Gahrman,Male,BB,Elderly,Elderly,0,0,BB_Gahrman,Human,B,MC,No,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9.0,9.1,9.0,9.1,,0,0,0,0,0
Gascoigne,Male,BB,Unknown,Unknown,0,0,BB_Gascoigne,Human,A,SC,No,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9.0,9.1,9.0,9.1,,0,0,0,0,0
Micolash,Male,BB,Unknown,Unknown,0,0,BB_Micolash,Human,A,MA,No,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9.0,9.1,9.0,9.1,,0,0,0,0,0
Shovel Knight,Male,SK,Adult,Adult,1,0,SK_Shovel,Human,P,PA,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Black Knight,Male,SK,Adult,Adult,0,0,SK_Black,Human,A,MC,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Enchantress,Female,SK,Adult,Adult,0,0,SK_Enchantress,Humanoid,A,MA,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
King Knight,Male,SK,Adult,Adult,0,0,SK_King,Human,A,SC,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Specter Knight,Male,SK,Adult,Adult,0,0,SK_Specter,Human,A,SC,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Plague Knight,Male,SK,Adult,Adult,0,0,SK_Plague,Humanoid,A,SC,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Treasure Knight,Male,SK,Adult,Adult,0,0,SK_Treasure,Human,A,SC,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Mole Knight,Male,SK,Adult,Adult,0,0,SK_Mole,Human,A,SC,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Tinked Knight,Male,SK,Adult,Adult,0,0,SK_Tinked,Human,A,SC,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Polar Knight,Male,SK,Adult,Adult,0,0,SK_Polar,Human,A,SC,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Propeller Knight,Male,SK,Adult,Adult,0,0,SK_Propeller,Human,A,SC,No,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,0,0,0
Inspector,Male,PP,Adult,Adult,1,0,PP_Inspector,Human,P,PA,No,PP,"Papers, Please",Aug-13,,Simulation,Puzzle Simulation,3909 LLC,3909 LLC,USA,Multi,16,No,1,0,4,2,33%,TR,M,1,0,0%,8.9,,8.7,8.0,8.5,,0,0,0,0,0
Jorji Costava,Male,PP,Adult,Adult,0,0,PP_Jorji,Human,B,MC,No,PP,"Papers, Please",Aug-13,,Simulation,Puzzle Simulation,3909 LLC,3909 LLC,USA,Multi,16,No,1,0,4,2,33%,TR,M,1,0,0%,8.9,,8.7,8.0,8.5,,0,0,0,0,0
Wife,Female,PP,Adult,Adult,0,1,PP_Wife,Human,P,SC,Yes,PP,"Papers, Please",Aug-13,,Simulation,Puzzle Simulation,3909 LLC,3909 LLC,USA,Multi,16,No,1,0,4,2,33%,TR,M,1,0,0%,8.9,,8.7,8.0,8.5,,0,0,1,0,1
Son,Male,PP,Child,Child,0,1,PP_Son,Human,P,SC,No,PP,"Papers, Please",Aug-13,,Simulation,Puzzle Simulation,3909 LLC,3909 LLC,USA,Multi,16,No,1,0,4,2,33%,TR,M,1,0,0%,8.9,,8.7,8.0,8.5,,0,0,1,0,1
Mother-in-law,Female,PP,Elderly,Elderly,0,1,PP_Mother-in-law,Human,P,SC,No,PP,"Papers, Please",Aug-13,,Simulation,Puzzle Simulation,3909 LLC,3909 LLC,USA,Multi,16,No,1,0,4,2,33%,TR,M,1,0,0%,8.9,,8.7,8.0,8.5,,0,0,1,0,1
Uncle,Male,PP,Elderly,Elderly,0,1,PP_Uncle,Human,P,SC,No,PP,"Papers, Please",Aug-13,,Simulation,Puzzle Simulation,3909 LLC,3909 LLC,USA,Multi,16,No,1,0,4,2,33%,TR,M,1,0,0%,8.9,,8.7,8.0,8.5,,0,0,1,0,1
Joel,Male,TLOU,52,Middle-aged,1,0,TLOU_Joel,Human,P,PA,No,TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10.0,10.0,8.0,9.4,,0,0,0,0,0
Tess,Female,TLOU,Adult,Adult,0,0,TLOU_Tess,Human,P,SC,No,TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10.0,10.0,8.0,9.4,,0,0,0,0,0
Marlene,Female,TLOU,Adult,Adult,0,0,TLOU_Marlene,Human,A,MC,No,TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10.0,10.0,8.0,9.4,,0,0,0,0,0
Tommy,Male,TLOU,45,Middle-aged,0,0,TLOU_Tommy,Human,P,SC,No,TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10.0,10.0,8.0,9.4,,0,0,0,0,0
Bill,Male,TLOU,Middle-aged,Middle-aged,0,0,TLOU_Bill,Human,P,SC,No,TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10.0,10.0,8.0,9.4,,0,0,0,0,0
Henry,Male,TLOU,25,Adult,0,0,TLOU_Henry,Human,P,SC,No,TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10.0,10.0,8.0,9.4,,0,0,0,0,0
Sam,Male,TLOU,13,Child,0,0,TLOU_Sam,Human,P,SC,No,TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10.0,10.0,8.0,9.4,,0,0,0,0,0
David,Male,TLOU,Adult,Adult,0,0,TLOU_David,Human,A,SC,No,TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10.0,10.0,8.0,9.4,,0,0,0,0,0
Booker,Male,BSI,38,Adult,1,0,BSI_Booker,Human,P,PA,No,BSI,BioShock Infinite,Mar-13,BioShock,Action,FPS,Irrational Games,2K Games,USA,Multi,18,No,1,0,3,4,57%,TR,M,4,0,0%,9.4,10.0,9.5,9.0,9.5,,0,0,0,0,0
Songbird,Non-binary,BSI,Unknown,Unknown,0,0,BSI_Songbird,Robot,B,MC,No,BSI,BioShock Infinite,Mar-13,BioShock,Action,FPS,Irrational Games,2K Games,USA,Multi,18,No,1,0,3,4,57%,TR,M,4,0,0%,9.4,10.0,9.5,9.0,9.5,,0,0,0,0,0
Comstock,Male,BSI,38,Adult,0,0,BSI_Comstock,Human,A,MA,No,BSI,BioShock Infinite,Mar-13,BioShock,Action,FPS,Irrational Games,2K Games,USA,Multi,18,No,1,0,3,4,57%,TR,M,4,0,0%,9.4,10.0,9.5,9.0,9.5,,0,0,0,0,0
Robert Lutece,Male,BSI,Adult,Adult,0,0,BSI_Robert,Human,B,MC,No,BSI,BioShock Infinite,Mar-13,BioShock,Action,FPS,Irrational Games,2K Games,USA,Multi,18,No,1,0,3,4,57%,TR,M,4,0,0%,9.4,10.0,9.5,9.0,9.5,,0,0,0,0,0
Rosalind Lutece,Female,BSI,Adult,Adult,0,0,BSI_Rosalind,Human,B,MC,No,BSI,BioShock Infinite,Mar-13,BioShock,Action,FPS,Irrational Games,2K Games,USA,Multi,18,No,1,0,3,4,57%,TR,M,4,0,0%,9.4,10.0,9.5,9.0,9.5,,0,0,0,0,0
Daisy Fitzroy,Female,BSI,Adult,Adult,0,0,BSI_Daisy,Human,B,SC,No,BSI,BioShock Infinite,Mar-13,BioShock,Action,FPS,Irrational Games,2K Games,USA,Multi,18,No,1,0,3,4,57%,TR,M,4,0,0%,9.4,10.0,9.5,9.0,9.5,,0,0,0,0,0
Jacket,Male,HLM,Adult,Adult,1,0,HLM_Jacket,Human,B,PA,No,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,0,0,0,0
Biker,Male,HLM,Adult,Adult,1,0,HLM_Biker,Human,B,PA,No,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,0,0,0,0
Girlfriend,Female,HLM,Adult,Adult,0,2,HLM_Girlfriend,Human,P,SC,Yes,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,1,1,0,2
Richard,Male,HLM,Adult,Adult,0,0,HLM_Richard,Human,B,SC,No,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,0,0,0,0
Rasmus,Male,HLM,Adult,Adult,0,0,HLM_Rasmus,Human,B,SC,No,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,0,0,0,0
DonJuan,Female,HLM,Adult,Adult,0,0,HLM_DonJuan,Human,B,SC,No,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,0,0,0,0
Beard,Male,HLM,Adult,Adult,0,0,HLM_Beard,Human,P,MC,No,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,0,0,0,0
Dennis Janitor,Male,HLM,Adult,Adult,0,0,HLM_Dennis,Human,A,SC,No,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,0,0,0,0
Jonatan Janitor,Male,HLM,Adult,Adult,0,0,HLM_Jonatan,Human,A,SC,No,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,0,0,0,0
Richter,Male,HLM,Adult,Adult,0,0,HLM_Richter,Human,A,SC,No,HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9.0,8.8,8.5,8.7,,0,0,0,0,0
Ancestor,Non-binary,JRN,Unknown,Unknown,0,0,JRN_Ancestor,Humanoid,P,SC,No,JRN,Journey,Mar-12,,Adventure,Adventure,Thatgamecompany,Sony Computer Entertainment,USA,PS3,12,Non-Binary,1,1,0,4,100%,TR,M,7,1,14%,9.2,9.0,9.0,9.5,9.2,,0,0,0,0,0
Companions,Non-binary,JRN,Unknown,Unknown,0,0,JRN_Companions,Humanoid,P,SC,No,JRN,Journey,Mar-12,,Adventure,Adventure,Thatgamecompany,Sony Computer Entertainment,USA,PS3,12,Non-Binary,1,1,0,4,100%,TR,M,7,1,14%,9.2,9.0,9.0,9.5,9.2,,0,0,0,0,0
War Machines,Non-binary,JRN,Unknown,Unknown,0,0,JRN_War,Robot,A,MA,No,JRN,Journey,Mar-12,,Adventure,Adventure,Thatgamecompany,Sony Computer Entertainment,USA,PS3,12,Non-Binary,1,1,0,4,100%,TR,M,7,1,14%,9.2,9.0,9.0,9.5,9.2,,0,0,0,0,0
Jason Brody,Male,FC3,25,Adult,1,0,FC3_Jason,Human,P,PA,No,FC3,Far Cry 3,Nov-19,Far Cry,Action,FPS,Ubisoft Montreal,Ubisoft,CAN,Multi,18,No,1,0,11,3,21%,TR,M,8,0,0%,9.0,8.0,9.0,9.0,8.8,,0,0,0,0,0
Vaas Montenegro,Male,FC3,28,Adult,0,0,FC3_Vaas,Human,P,MA,No,FC3,Far Cry 3,Nov-19,Far Cry,Action,FPS,Ubisoft Montreal,Ubisoft,CAN,Multi,18,No,1,0,11,3,21%,TR,M,8,0,0%,9.0,8.0,9.0,9.0,8.8,,0,0,0,0,0
Grant,Male,FC3,30,Adult,0,0,FC3_Grant,Human,P,SC,No,FC3,Far Cry 3,Nov-19,Far Cry,Action,FPS,Ubisoft Montreal,Ubisoft,CAN,Multi,18,No,1,0,11,3,21%,TR,M,8,0,0%,9.0,8.0,9.0,9.0,8.8,,0,0,0,0,0
Dennis,Male,FC3,37,Adult,0,0,FC3_Dennis,Human,B,SC,No,FC3,Far Cry 3,Nov-19,Far Cry,Action,FPS,Ubisoft Montreal,Ubisoft,CAN,Multi,18,No,1,0,11,3,21%,TR,M,8,0,0%,9.0,8.0,9.0,9.0,8.8,,0,0,0,0,0
Daisy Fitzroy,Female,FC3,26,Adult,0,0,FC3_Daisy,Human,P,SC,No,FC3,Far Cry 3,Nov-19,Far Cry,Action,FPS,Ubisoft Montreal,Ubisoft,CAN,Multi,18,No,1,0,11,3,21%,TR,M,8,0,0%,9.0,8.0,9.0,9.0,8.8,,0,0,0,0,0
Dr.Earnhardt,Male,FC3,66,Elderly,0,0,FC3_Dr.Earnhardt,Human,B,SC,No,FC3,Far Cry 3,Nov-19,Far Cry,Action,FPS,Ubisoft Montreal,Ubisoft,CAN,Multi,18,No,1,0,11,3,21%,TR,M,8,0,0%,9.0,8.0,9.0,9.0,8.8,,0,0,0,0,0
